pruning,ordering-heuristic,scenario,method,runtime,epoch
True,min-degree,s1,MAP,0.14416050910949707,1
True,min-degree,s1,MargDist,0.12812447547912598,1
True,min-degree,s2,MAP,0.13485956192016602,1
True,min-degree,s2,MargDist,0.05538630485534668,1
True,min-degree,s3,MAP,0.13731861114501953,1
True,min-degree,s3,MargDist,0.09722733497619629,1
True,min-degree,s4,MAP,0.11816549301147461,1
True,min-degree,s4,MargDist,0.1115427017211914,1
True,min-degree,s5,MAP,0.05283546447753906,1
True,min-degree,s5,MargDist,0.010706424713134766,1
True,min-degree,s6,MAP,0.19955086708068848,1
True,min-degree,s6,MargDist,0.05026435852050781,1
True,min-degree,s7,MAP,0.20253801345825195,1
True,min-degree,s7,MargDist,0.1109926700592041,1
True,min-degree,s8,MAP,0.2812643051147461,1
True,min-degree,s8,MargDist,0.12437939643859863,1
True,min-degree,s1,MAP,0.011118888854980469,2
True,min-degree,s1,MargDist,0.007672548294067383,2
True,min-degree,s2,MAP,0.15247797966003418,2
True,min-degree,s2,MargDist,0.1336066722869873,2
True,min-degree,s3,MAP,0.09088993072509766,2
True,min-degree,s3,MargDist,0.06755924224853516,2
True,min-degree,s4,MAP,0.12065911293029785,2
True,min-degree,s4,MargDist,0.11238956451416016,2
True,min-degree,s5,MAP,0.24448251724243164,2
True,min-degree,s5,MargDist,0.09445977210998535,2
True,min-degree,s6,MAP,1.5303845405578613,2
True,min-degree,s6,MargDist,0.07304596900939941,2
True,min-degree,s7,MAP,0.20173239707946777,2
True,min-degree,s7,MargDist,0.09324240684509277,2
True,min-degree,s8,MAP,0.12304806709289551,2
True,min-degree,s8,MargDist,0.11628127098083496,2
True,min-degree,s1,MAP,0.010139942169189453,3
True,min-degree,s1,MargDist,0.00628209114074707,3
True,min-degree,s2,MAP,0.13092374801635742,3
True,min-degree,s2,MargDist,0.08730435371398926,3
True,min-degree,s3,MAP,0.13153076171875,3
True,min-degree,s3,MargDist,0.0930335521697998,3
True,min-degree,s4,MAP,0.13861966133117676,3
True,min-degree,s4,MargDist,0.08778929710388184,3
True,min-degree,s5,MAP,0.24994468688964844,3
True,min-degree,s5,MargDist,0.10201001167297363,3
True,min-degree,s6,MAP,0.21608829498291016,3
True,min-degree,s6,MargDist,0.09109163284301758,3
True,min-degree,s7,MAP,0.12088394165039062,3
True,min-degree,s7,MargDist,0.04186511039733887,3
True,min-degree,s8,MAP,0.17520499229431152,3
True,min-degree,s8,MargDist,0.08559823036193848,3
True,min-degree,s1,MAP,0.09072732925415039,4
True,min-degree,s1,MargDist,0.05494952201843262,4
True,min-degree,s2,MAP,0.0858767032623291,4
True,min-degree,s2,MargDist,0.04372453689575195,4
True,min-degree,s3,MAP,0.28542137145996094,4
True,min-degree,s3,MargDist,0.0895686149597168,4
True,min-degree,s4,MAP,0.1133122444152832,4
True,min-degree,s4,MargDist,0.0879364013671875,4
True,min-degree,s5,MAP,0.26583242416381836,4
True,min-degree,s5,MargDist,0.09560632705688477,4
True,min-degree,s6,MAP,1.317838430404663,4
True,min-degree,s6,MargDist,0.0830085277557373,4
True,min-degree,s7,MAP,0.1887810230255127,4
True,min-degree,s7,MargDist,0.09972381591796875,4
True,min-degree,s8,MAP,0.29418039321899414,4
True,min-degree,s8,MargDist,0.08545041084289551,4
True,min-degree,s1,MAP,0.008917093276977539,5
True,min-degree,s1,MargDist,0.006064176559448242,5
True,min-degree,s2,MAP,0.04066944122314453,5
True,min-degree,s2,MargDist,0.03755927085876465,5
True,min-degree,s3,MAP,0.235321044921875,5
True,min-degree,s3,MargDist,0.07396721839904785,5
True,min-degree,s4,MAP,0.11824679374694824,5
True,min-degree,s4,MargDist,0.07798337936401367,5
True,min-degree,s5,MAP,0.3367898464202881,5
True,min-degree,s5,MargDist,0.03861093521118164,5
True,min-degree,s6,MAP,0.12559175491333008,5
True,min-degree,s6,MargDist,0.1014254093170166,5
True,min-degree,s7,MAP,0.2111647129058838,5
True,min-degree,s7,MargDist,0.09126901626586914,5
True,min-degree,s8,MAP,0.16266798973083496,5
True,min-degree,s8,MargDist,0.09281134605407715,5
True,min-degree,s1,MAP,0.05572867393493652,6
True,min-degree,s1,MargDist,0.030133724212646484,6
True,min-degree,s2,MAP,0.2048497200012207,6
True,min-degree,s2,MargDist,0.10565519332885742,6
True,min-degree,s3,MAP,0.07542586326599121,6
True,min-degree,s3,MargDist,0.055448055267333984,6
True,min-degree,s4,MAP,0.11452460289001465,6
True,min-degree,s4,MargDist,0.09538459777832031,6
True,min-degree,s5,MAP,0.10288381576538086,6
True,min-degree,s5,MargDist,0.04250955581665039,6
True,min-degree,s6,MAP,0.12511634826660156,6
True,min-degree,s6,MargDist,0.1098015308380127,6
True,min-degree,s7,MAP,0.5850350856781006,6
True,min-degree,s7,MargDist,0.0969536304473877,6
True,min-degree,s8,MAP,0.17217278480529785,6
True,min-degree,s8,MargDist,0.07989788055419922,6
True,min-degree,s1,MAP,0.11734414100646973,7
True,min-degree,s1,MargDist,0.10806131362915039,7
True,min-degree,s2,MAP,0.13906240463256836,7
True,min-degree,s2,MargDist,0.09771919250488281,7
True,min-degree,s3,MAP,0.10598230361938477,7
True,min-degree,s3,MargDist,0.08817911148071289,7
True,min-degree,s4,MAP,0.11159706115722656,7
True,min-degree,s4,MargDist,0.09501004219055176,7
True,min-degree,s5,MAP,0.22425341606140137,7
True,min-degree,s5,MargDist,0.07517504692077637,7
True,min-degree,s6,MAP,4.9380645751953125,7
True,min-degree,s6,MargDist,0.08021736145019531,7
True,min-degree,s7,MAP,0.5781469345092773,7
True,min-degree,s7,MargDist,0.07984781265258789,7
True,min-degree,s8,MAP,0.13553190231323242,7
True,min-degree,s8,MargDist,0.08321452140808105,7
True,min-degree,s1,MAP,0.12310910224914551,8
True,min-degree,s1,MargDist,0.12279820442199707,8
True,min-degree,s2,MAP,0.020014047622680664,8
True,min-degree,s2,MargDist,0.013626813888549805,8
True,min-degree,s3,MAP,0.11206817626953125,8
True,min-degree,s3,MargDist,0.0779876708984375,8
True,min-degree,s4,MAP,0.13068318367004395,8
True,min-degree,s4,MargDist,0.09449148178100586,8
True,min-degree,s5,MAP,0.7653841972351074,8
True,min-degree,s5,MargDist,0.08494400978088379,8
True,min-degree,s6,MAP,2.6913557052612305,8
True,min-degree,s6,MargDist,0.06616973876953125,8
True,min-degree,s7,MAP,0.2587273120880127,8
True,min-degree,s7,MargDist,0.0800161361694336,8
True,min-degree,s8,MAP,0.18520092964172363,8
True,min-degree,s8,MargDist,0.0648958683013916,8
True,min-degree,s1,MAP,0.01609063148498535,9
True,min-degree,s1,MargDist,0.007160663604736328,9
True,min-degree,s2,MAP,0.01543736457824707,9
True,min-degree,s2,MargDist,0.012246847152709961,9
True,min-degree,s3,MAP,0.17810964584350586,9
True,min-degree,s3,MargDist,0.09407401084899902,9
True,min-degree,s4,MAP,0.07680630683898926,9
True,min-degree,s4,MargDist,0.07229900360107422,9
True,min-degree,s5,MAP,0.4344968795776367,9
True,min-degree,s5,MargDist,0.10294675827026367,9
True,min-degree,s6,MAP,1.4510600566864014,9
True,min-degree,s6,MargDist,0.08202219009399414,9
True,min-degree,s7,MAP,0.29892659187316895,9
True,min-degree,s7,MargDist,0.07537341117858887,9
True,min-degree,s8,MAP,0.16108274459838867,9
True,min-degree,s8,MargDist,0.10289359092712402,9
True,min-degree,s1,MAP,0.12379145622253418,10
True,min-degree,s1,MargDist,0.11540603637695312,10
True,min-degree,s2,MAP,0.07808065414428711,10
True,min-degree,s2,MargDist,0.04781293869018555,10
True,min-degree,s3,MAP,0.07595133781433105,10
True,min-degree,s3,MargDist,0.07206296920776367,10
True,min-degree,s4,MAP,0.09800529479980469,10
True,min-degree,s4,MargDist,0.10270977020263672,10
True,min-degree,s5,MAP,0.7422821521759033,10
True,min-degree,s5,MargDist,0.08342957496643066,10
True,min-degree,s6,MAP,1.4185504913330078,10
True,min-degree,s6,MargDist,0.08102798461914062,10
True,min-degree,s7,MAP,0.6353797912597656,10
True,min-degree,s7,MargDist,0.07401895523071289,10
True,min-degree,s8,MAP,0.24953436851501465,10
True,min-degree,s8,MargDist,0.08960723876953125,10
True,min-degree,s1,MAP,0.03989410400390625,11
True,min-degree,s1,MargDist,0.03170180320739746,11
True,min-degree,s2,MAP,0.12444639205932617,11
True,min-degree,s2,MargDist,0.09145975112915039,11
True,min-degree,s3,MAP,0.034148216247558594,11
True,min-degree,s3,MargDist,0.02652430534362793,11
True,min-degree,s4,MAP,0.16724848747253418,11
True,min-degree,s4,MargDist,0.09958696365356445,11
True,min-degree,s5,MAP,1.3905582427978516,11
True,min-degree,s5,MargDist,0.07517790794372559,11
True,min-degree,s6,MAP,0.6094357967376709,11
True,min-degree,s6,MargDist,0.07868790626525879,11
True,min-degree,s7,MAP,0.19565057754516602,11
True,min-degree,s7,MargDist,0.09236764907836914,11
True,min-degree,s8,MAP,0.11401486396789551,11
True,min-degree,s8,MargDist,0.0867469310760498,11
True,min-degree,s1,MAP,0.009913206100463867,12
True,min-degree,s1,MargDist,0.007216453552246094,12
True,min-degree,s2,MAP,0.40361666679382324,12
True,min-degree,s2,MargDist,0.08952665328979492,12
True,min-degree,s3,MAP,0.15775036811828613,12
True,min-degree,s3,MargDist,0.10184788703918457,12
True,min-degree,s4,MAP,0.16247177124023438,12
True,min-degree,s4,MargDist,0.10284018516540527,12
True,min-degree,s5,MAP,0.20448637008666992,12
True,min-degree,s5,MargDist,0.1248321533203125,12
True,min-degree,s6,MAP,1.403010606765747,12
True,min-degree,s6,MargDist,0.05649232864379883,12
True,min-degree,s7,MAP,1.1119699478149414,12
True,min-degree,s7,MargDist,0.09722280502319336,12
True,min-degree,s8,MAP,0.20514583587646484,12
True,min-degree,s8,MargDist,0.09747314453125,12
True,min-degree,s1,MAP,0.04812121391296387,13
True,min-degree,s1,MargDist,0.024811267852783203,13
True,min-degree,s2,MAP,0.02464890480041504,13
True,min-degree,s2,MargDist,0.020238637924194336,13
True,min-degree,s3,MAP,0.07256293296813965,13
True,min-degree,s3,MargDist,0.06098175048828125,13
True,min-degree,s4,MAP,0.13900089263916016,13
True,min-degree,s4,MargDist,0.09603452682495117,13
True,min-degree,s5,MAP,0.15760159492492676,13
True,min-degree,s5,MargDist,0.11229872703552246,13
True,min-degree,s6,MAP,0.7417068481445312,13
True,min-degree,s6,MargDist,0.08884072303771973,13
True,min-degree,s7,MAP,0.7599329948425293,13
True,min-degree,s7,MargDist,0.0627896785736084,13
True,min-degree,s8,MAP,0.20234918594360352,13
True,min-degree,s8,MargDist,0.1089937686920166,13
True,min-degree,s1,MAP,0.030279874801635742,14
True,min-degree,s1,MargDist,0.017476320266723633,14
True,min-degree,s2,MAP,0.1061697006225586,14
True,min-degree,s2,MargDist,0.05783653259277344,14
True,min-degree,s3,MAP,0.1300351619720459,14
True,min-degree,s3,MargDist,0.10218214988708496,14
True,min-degree,s4,MAP,0.11821436882019043,14
True,min-degree,s4,MargDist,0.1040809154510498,14
True,min-degree,s5,MAP,0.37287425994873047,14
True,min-degree,s5,MargDist,0.07605981826782227,14
True,min-degree,s6,MAP,0.7291736602783203,14
True,min-degree,s6,MargDist,0.0516362190246582,14
True,min-degree,s7,MAP,0.617844820022583,14
True,min-degree,s7,MargDist,0.09832763671875,14
True,min-degree,s8,MAP,0.16062068939208984,14
True,min-degree,s8,MargDist,0.09270381927490234,14
True,min-degree,s1,MAP,0.04133725166320801,15
True,min-degree,s1,MargDist,0.024901390075683594,15
True,min-degree,s2,MAP,0.032208919525146484,15
True,min-degree,s2,MargDist,0.017549753189086914,15
True,min-degree,s3,MAP,0.40850257873535156,15
True,min-degree,s3,MargDist,0.08411550521850586,15
True,min-degree,s4,MAP,0.13793563842773438,15
True,min-degree,s4,MargDist,0.10782384872436523,15
True,min-degree,s5,MAP,2.6205241680145264,15
True,min-degree,s5,MargDist,0.08155989646911621,15
True,min-degree,s6,MAP,0.40097665786743164,15
True,min-degree,s6,MargDist,0.0908668041229248,15
True,min-degree,s7,MAP,0.0810544490814209,15
True,min-degree,s7,MargDist,0.05836892127990723,15
True,min-degree,s8,MAP,0.17332124710083008,15
True,min-degree,s8,MargDist,0.08920741081237793,15
True,min-degree,s1,MAP,0.09841394424438477,16
True,min-degree,s1,MargDist,0.04978823661804199,16
True,min-degree,s2,MAP,0.1262209415435791,16
True,min-degree,s2,MargDist,0.11121511459350586,16
True,min-degree,s3,MAP,0.06066465377807617,16
True,min-degree,s3,MargDist,0.05166435241699219,16
True,min-degree,s4,MAP,0.1346435546875,16
True,min-degree,s4,MargDist,0.10925865173339844,16
True,min-degree,s5,MAP,1.3467354774475098,16
True,min-degree,s5,MargDist,0.08383059501647949,16
True,min-degree,s6,MAP,0.0995790958404541,16
True,min-degree,s6,MargDist,0.07008171081542969,16
True,min-degree,s7,MAP,0.5604138374328613,16
True,min-degree,s7,MargDist,0.07995200157165527,16
True,min-degree,s8,MAP,0.19549155235290527,16
True,min-degree,s8,MargDist,0.0937955379486084,16
True,min-degree,s1,MAP,0.09777331352233887,17
True,min-degree,s1,MargDist,0.04996752738952637,17
True,min-degree,s2,MAP,0.18602609634399414,17
True,min-degree,s2,MargDist,0.1083531379699707,17
True,min-degree,s3,MAP,0.04485821723937988,17
True,min-degree,s3,MargDist,0.038201093673706055,17
True,min-degree,s4,MAP,0.15723657608032227,17
True,min-degree,s4,MargDist,0.09869742393493652,17
True,min-degree,s5,MAP,1.541055679321289,17
True,min-degree,s5,MargDist,0.09716534614562988,17
True,min-degree,s6,MAP,0.5698413848876953,17
True,min-degree,s6,MargDist,0.07024884223937988,17
True,min-degree,s7,MAP,0.4126732349395752,17
True,min-degree,s7,MargDist,0.10589122772216797,17
True,min-degree,s8,MAP,0.293377161026001,17
True,min-degree,s8,MargDist,0.10376191139221191,17
True,min-degree,s1,MAP,0.1456890106201172,18
True,min-degree,s1,MargDist,0.13244032859802246,18
True,min-degree,s2,MAP,0.13074088096618652,18
True,min-degree,s2,MargDist,0.04771780967712402,18
True,min-degree,s3,MAP,0.28014135360717773,18
True,min-degree,s3,MargDist,0.08950209617614746,18
True,min-degree,s4,MAP,0.14316582679748535,18
True,min-degree,s4,MargDist,0.10873770713806152,18
True,min-degree,s5,MAP,1.4186344146728516,18
True,min-degree,s5,MargDist,0.09012627601623535,18
True,min-degree,s6,MAP,1.4541218280792236,18
True,min-degree,s6,MargDist,0.09734964370727539,18
True,min-degree,s7,MAP,0.7409965991973877,18
True,min-degree,s7,MargDist,0.07221794128417969,18
True,min-degree,s8,MAP,0.27295517921447754,18
True,min-degree,s8,MargDist,0.0951988697052002,18
True,min-degree,s1,MAP,0.04740190505981445,19
True,min-degree,s1,MargDist,0.025548458099365234,19
True,min-degree,s2,MAP,0.1477193832397461,19
True,min-degree,s2,MargDist,0.05450606346130371,19
True,min-degree,s3,MAP,0.1742076873779297,19
True,min-degree,s3,MargDist,0.10245680809020996,19
True,min-degree,s4,MAP,0.15180563926696777,19
True,min-degree,s4,MargDist,0.10213065147399902,19
True,min-degree,s5,MAP,0.6853845119476318,19
True,min-degree,s5,MargDist,0.09972262382507324,19
True,min-degree,s6,MAP,4.479189157485962,19
True,min-degree,s6,MargDist,0.10545182228088379,19
True,min-degree,s7,MAP,0.32869577407836914,19
True,min-degree,s7,MargDist,0.11703014373779297,19
True,min-degree,s8,MAP,0.3260483741760254,19
True,min-degree,s8,MargDist,0.10298562049865723,19
True,min-degree,s1,MAP,0.058927059173583984,20
True,min-degree,s1,MargDist,0.03182721138000488,20
True,min-degree,s2,MAP,0.17512822151184082,20
True,min-degree,s2,MargDist,0.09578084945678711,20
True,min-degree,s3,MAP,0.15349268913269043,20
True,min-degree,s3,MargDist,0.1002206802368164,20
True,min-degree,s4,MAP,0.16683101654052734,20
True,min-degree,s4,MargDist,0.10040903091430664,20
True,min-degree,s5,MAP,0.15858745574951172,20
True,min-degree,s5,MargDist,0.0986788272857666,20
True,min-degree,s6,MAP,0.24785232543945312,20
True,min-degree,s6,MargDist,0.046880245208740234,20
True,min-degree,s7,MAP,0.12633657455444336,20
True,min-degree,s7,MargDist,0.06247401237487793,20
True,min-degree,s8,MAP,0.22107672691345215,20
True,min-degree,s8,MargDist,0.11280179023742676,20
True,min-degree,s1,MAP,0.05081629753112793,21
True,min-degree,s1,MargDist,0.030265331268310547,21
True,min-degree,s2,MAP,0.07931089401245117,21
True,min-degree,s2,MargDist,0.05235743522644043,21
True,min-degree,s3,MAP,0.06461238861083984,21
True,min-degree,s3,MargDist,0.04927802085876465,21
True,min-degree,s4,MAP,0.1462388038635254,21
True,min-degree,s4,MargDist,0.09039044380187988,21
True,min-degree,s5,MAP,0.33562350273132324,21
True,min-degree,s5,MargDist,0.0857396125793457,21
True,min-degree,s6,MAP,0.14265060424804688,21
True,min-degree,s6,MargDist,0.10121488571166992,21
True,min-degree,s7,MAP,0.18992829322814941,21
True,min-degree,s7,MargDist,0.11766815185546875,21
True,min-degree,s8,MAP,0.2279815673828125,21
True,min-degree,s8,MargDist,0.09526586532592773,21
True,min-degree,s1,MAP,0.015647172927856445,22
True,min-degree,s1,MargDist,0.008549690246582031,22
True,min-degree,s2,MAP,0.08596611022949219,22
True,min-degree,s2,MargDist,0.0452883243560791,22
True,min-degree,s3,MAP,0.24054813385009766,22
True,min-degree,s3,MargDist,0.10425257682800293,22
True,min-degree,s4,MAP,0.11107611656188965,22
True,min-degree,s4,MargDist,0.0930643081665039,22
True,min-degree,s5,MAP,0.2463517189025879,22
True,min-degree,s5,MargDist,0.0827016830444336,22
True,min-degree,s6,MAP,0.6761841773986816,22
True,min-degree,s6,MargDist,0.09193873405456543,22
True,min-degree,s7,MAP,0.35250306129455566,22
True,min-degree,s7,MargDist,0.06331610679626465,22
True,min-degree,s8,MAP,0.19894695281982422,22
True,min-degree,s8,MargDist,0.09656453132629395,22
True,min-degree,s1,MAP,0.04105544090270996,23
True,min-degree,s1,MargDist,0.02565765380859375,23
True,min-degree,s2,MAP,0.17253780364990234,23
True,min-degree,s2,MargDist,0.10349225997924805,23
True,min-degree,s3,MAP,0.12622809410095215,23
True,min-degree,s3,MargDist,0.0962517261505127,23
True,min-degree,s4,MAP,0.12173175811767578,23
True,min-degree,s4,MargDist,0.09534788131713867,23
True,min-degree,s5,MAP,0.24746108055114746,23
True,min-degree,s5,MargDist,0.0568387508392334,23
True,min-degree,s6,MAP,0.3808419704437256,23
True,min-degree,s6,MargDist,0.0758066177368164,23
True,min-degree,s7,MAP,0.4276084899902344,23
True,min-degree,s7,MargDist,0.07336807250976562,23
True,min-degree,s8,MAP,0.19259357452392578,23
True,min-degree,s8,MargDist,0.09944486618041992,23
True,min-degree,s1,MAP,0.12549114227294922,24
True,min-degree,s1,MargDist,0.11851096153259277,24
True,min-degree,s2,MAP,0.013428449630737305,24
True,min-degree,s2,MargDist,0.010849952697753906,24
True,min-degree,s3,MAP,0.375730037689209,24
True,min-degree,s3,MargDist,0.07442378997802734,24
True,min-degree,s4,MAP,0.13254642486572266,24
True,min-degree,s4,MargDist,0.10364651679992676,24
True,min-degree,s5,MAP,0.04063868522644043,24
True,min-degree,s5,MargDist,0.011950254440307617,24
True,min-degree,s6,MAP,0.14726018905639648,24
True,min-degree,s6,MargDist,0.0885622501373291,24
True,min-degree,s7,MAP,0.06675338745117188,24
True,min-degree,s7,MargDist,0.06058907508850098,24
